model name	size	time solver	obj solver	time pulp	obj pulp	obj matched?
SHIP12S	((1151, 2763), 8178)	0.400	1.4892e+06	0.270	1.4892e+06	True
SIERRA	((1227, 2036), 7302)	0.460	1.5394e+07	0.198	1.5394e+07	True
STAIR	((356, 467), 3856)	0.354	-2.5127e+02	0.067	-2.5127e+02	True
STANDATA	((359, 1075), 3031)	0.049	1.2577e+03	0.061	1.2577e+03	True
STANDGUB	((361, 1184), 3139)	0.048	1.2577e+03	0.060	1.2577e+03	True
STANDMPS	((467, 1075), 3679)	0.174	1.4060e+03	0.070	1.4060e+03	True
STOCFOR1	((117, 111), 447)	0.099	-4.1132e+04	0.034	-4.1132e+04	True
STOCFOR2	((2157, 2031), 8343)	1.956	-3.9024e+04	0.266	-3.9024e+04	True
STOCFOR3	((16675, 15695), 64875)	63.485	-3.9977e+04	2.238	-3.9977e+04	True
TRUSS	((1000, 8806), 27836)	22.637	4.5882e+05	4.366	4.5882e+05	True
TUFF	((333, 587), 4520)	0.147	2.9215e-01	0.058	2.9215e-01	True
VTP-BASE	((198, 203), 908)	0.047	1.2983e+05	0.025	1.2983e+05	True
WOOD1P	((244, 2594), 70215)	0.152	1.4429e+00	0.546	1.4429e+00	True
WOODW	((1098, 8405), 37474)	1.337	1.3045e+00	0.477	1.3045e+00	True
